actual_gesture,predicted_gesture,confidence
OPEN PALM,OPEN PALM,82.66666666666667
OPEN PALM,OPEN PALM,82.66666666666667
OPEN PALM,OPEN PALM,84.66666666666667
OPEN PALM,OPEN PALM,86.0
OPEN PALM,OPEN PALM,87.33333333333333
OPEN PALM,OPEN PALM,79.33333333333333
OPEN PALM,OPEN PALM,41.333333333333336
OPEN PALM,OPEN PALM,42.0
OPEN PALM,OPEN PALM,40.0
OPEN PALM,OPEN PALM,42.66666666666667
OPEN PALM,OPEN PALM,40.0
OPEN PALM,OPEN PALM,38.666666666666664
OPEN PALM,OPEN PALM,37.333333333333336
OPEN PALM,OPEN PALM,37.333333333333336
OPEN PALM,OPEN PALM,36.666666666666664
OPEN PALM,OPEN PALM,36.0
OPEN PALM,OPEN PALM,76.0
OPEN PALM,OPEN PALM,82.66666666666667
OPEN PALM,OPEN PALM,92.0
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,92.66666666666666
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,92.66666666666666
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,67.33333333333333
OPEN PALM,OPEN PALM,68.66666666666667
OPEN PALM,OPEN PALM,70.66666666666667
OPEN PALM,OPEN PALM,73.33333333333333
OPEN PALM,OPEN PALM,68.0
OPEN PALM,OPEN PALM,64.0
OPEN PALM,OPEN PALM,66.0
OPEN PALM,OPEN PALM,68.66666666666667
OPEN PALM,OPEN PALM,69.33333333333334
OPEN PALM,OPEN PALM,74.0
OPEN PALM,OPEN PALM,74.66666666666667
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,92.66666666666666
OPEN PALM,OPEN PALM,60.66666666666667
OPEN PALM,OPEN PALM,52.0
OPEN PALM,OPEN PALM,47.333333333333336
OPEN PALM,OPEN PALM,40.0
OPEN PALM,OPEN PALM,36.0
OPEN PALM,OPEN PALM,34.66666666666667
OPEN PALM,THREE,34.66666666666667
OPEN PALM,OPEN PALM,34.66666666666667
OPEN PALM,OPEN PALM,34.0
OPEN PALM,OPEN PALM,34.66666666666667
OPEN PALM,OPEN PALM,36.0
OPEN PALM,OPEN PALM,36.666666666666664
OPEN PALM,OPEN PALM,34.66666666666667
OPEN PALM,OPEN PALM,34.0
OPEN PALM,OPEN PALM,35.333333333333336
OPEN PALM,OPEN PALM,36.666666666666664
OPEN PALM,OPEN PALM,67.33333333333333
OPEN PALM,OPEN PALM,74.0
OPEN PALM,OPEN PALM,81.33333333333333
OPEN PALM,OPEN PALM,91.33333333333333
OPEN PALM,OPEN PALM,93.33333333333333
OPEN PALM,OPEN PALM,94.0
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,91.33333333333333
OPEN PALM,OPEN PALM,90.0
OPEN PALM,OPEN PALM,87.33333333333333
OPEN PALM,OPEN PALM,77.33333333333333
OPEN PALM,OPEN PALM,70.66666666666667
OPEN PALM,OPEN PALM,68.0
OPEN PALM,OPEN PALM,70.0
OPEN PALM,OPEN PALM,70.0
OPEN PALM,OPEN PALM,74.66666666666667
OPEN PALM,OPEN PALM,90.0
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,98.66666666666667
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,89.33333333333333
OPEN PALM,OPEN PALM,90.66666666666666
OPEN PALM,OPEN PALM,85.33333333333334
OPEN PALM,OPEN PALM,80.0
OPEN PALM,OPEN PALM,80.0
OPEN PALM,OPEN PALM,74.0
OPEN PALM,OPEN PALM,70.66666666666667
OPEN PALM,OPEN PALM,74.66666666666667
OPEN PALM,OPEN PALM,72.0
OPEN PALM,OPEN PALM,71.33333333333334
OPEN PALM,OPEN PALM,66.66666666666666
OPEN PALM,OPEN PALM,60.0
OPEN PALM,OPEN PALM,61.33333333333333
OPEN PALM,OPEN PALM,56.666666666666664
OPEN PALM,OPEN PALM,57.333333333333336
OPEN PALM,OPEN PALM,54.0
OPEN PALM,OPEN PALM,57.99999999999999
OPEN PALM,OPEN PALM,68.0
OPEN PALM,OPEN PALM,71.33333333333334
OPEN PALM,OPEN PALM,74.0
OPEN PALM,OPEN PALM,75.33333333333333
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,98.66666666666667
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,98.66666666666667
OPEN PALM,OPEN PALM,99.33333333333333
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,98.66666666666667
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,85.33333333333334
OPEN PALM,OPEN PALM,84.66666666666667
OPEN PALM,OPEN PALM,86.0
OPEN PALM,OPEN PALM,87.33333333333333
OPEN PALM,OPEN PALM,93.33333333333333
OPEN PALM,OPEN PALM,88.0
OPEN PALM,OPEN PALM,86.66666666666667
OPEN PALM,OPEN PALM,89.33333333333333
OPEN PALM,OPEN PALM,87.33333333333333
OPEN PALM,OPEN PALM,88.0
OPEN PALM,OPEN PALM,86.0
OPEN PALM,OPEN PALM,90.0
OPEN PALM,OPEN PALM,88.66666666666667
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,90.0
OPEN PALM,OPEN PALM,94.0
OPEN PALM,OPEN PALM,100.0
OPEN PALM,OPEN PALM,99.33333333333333
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,98.66666666666667
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,92.66666666666666
OPEN PALM,OPEN PALM,92.0
OPEN PALM,OPEN PALM,92.66666666666666
OPEN PALM,OPEN PALM,91.33333333333333
OPEN PALM,OPEN PALM,91.33333333333333
OPEN PALM,OPEN PALM,90.0
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,92.66666666666666
OPEN PALM,OPEN PALM,92.66666666666666
OPEN PALM,OPEN PALM,93.33333333333333
OPEN PALM,OPEN PALM,81.33333333333333
OPEN PALM,OPEN PALM,79.33333333333333
OPEN PALM,OPEN PALM,74.0
OPEN PALM,OPEN PALM,72.0
OPEN PALM,OPEN PALM,74.66666666666667
OPEN PALM,OPEN PALM,77.33333333333333
OPEN PALM,OPEN PALM,72.66666666666667
OPEN PALM,OPEN PALM,73.33333333333333
OPEN PALM,OPEN PALM,78.0
OPEN PALM,OPEN PALM,77.33333333333333
OPEN PALM,OPEN PALM,76.0
OPEN PALM,OPEN PALM,72.66666666666667
OPEN PALM,OPEN PALM,78.0
OPEN PALM,OPEN PALM,70.66666666666667
OPEN PALM,OPEN PALM,70.0
OPEN PALM,OPEN PALM,68.0
OPEN PALM,OPEN PALM,66.66666666666666
OPEN PALM,OPEN PALM,67.33333333333333
OPEN PALM,OPEN PALM,75.33333333333333
OPEN PALM,OPEN PALM,76.66666666666667
OPEN PALM,OPEN PALM,79.33333333333333
OPEN PALM,OPEN PALM,79.33333333333333
OPEN PALM,OPEN PALM,82.66666666666667
OPEN PALM,OPEN PALM,82.0
OPEN PALM,OPEN PALM,80.66666666666666
OPEN PALM,OPEN PALM,83.33333333333334
OPEN PALM,OPEN PALM,79.33333333333333
OPEN PALM,OPEN PALM,80.0
OPEN PALM,OPEN PALM,81.33333333333333
OPEN PALM,OPEN PALM,81.33333333333333
OPEN PALM,OPEN PALM,81.33333333333333
OPEN PALM,OPEN PALM,84.66666666666667
OPEN PALM,OPEN PALM,82.66666666666667
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,94.0
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,98.66666666666667
OPEN PALM,OPEN PALM,98.66666666666667
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,99.33333333333333
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,100.0
OPEN PALM,OPEN PALM,99.33333333333333
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,99.33333333333333
OPEN PALM,OPEN PALM,100.0
OPEN PALM,OPEN PALM,98.66666666666667
OPEN PALM,OPEN PALM,99.33333333333333
OPEN PALM,OPEN PALM,99.33333333333333
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,99.33333333333333
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,98.66666666666667
OPEN PALM,OPEN PALM,98.66666666666667
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,89.33333333333333
OPEN PALM,OPEN PALM,92.0
OPEN PALM,OPEN PALM,92.66666666666666
OPEN PALM,OPEN PALM,90.0
OPEN PALM,OPEN PALM,92.66666666666666
OPEN PALM,OPEN PALM,93.33333333333333
OPEN PALM,OPEN PALM,93.33333333333333
OPEN PALM,OPEN PALM,93.33333333333333
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,93.33333333333333
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,94.0
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,99.33333333333333
OPEN PALM,OPEN PALM,100.0
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,99.33333333333333
OPEN PALM,OPEN PALM,99.33333333333333
OPEN PALM,OPEN PALM,94.0
OPEN PALM,OPEN PALM,92.66666666666666
OPEN PALM,OPEN PALM,91.33333333333333
OPEN PALM,OPEN PALM,92.0
OPEN PALM,OPEN PALM,93.33333333333333
OPEN PALM,OPEN PALM,91.33333333333333
OPEN PALM,OPEN PALM,78.66666666666666
OPEN PALM,OPEN PALM,68.0
OPEN PALM,OPEN PALM,61.33333333333333
OPEN PALM,OPEN PALM,61.33333333333333
OPEN PALM,OPEN PALM,52.666666666666664
OPEN PALM,OPEN PALM,48.0
OPEN PALM,OPEN PALM,47.333333333333336
OPEN PALM,OPEN PALM,48.66666666666667
OPEN PALM,OPEN PALM,56.666666666666664
OPEN PALM,OPEN PALM,61.33333333333333
OPEN PALM,OPEN PALM,86.0
OPEN PALM,OPEN PALM,82.0
OPEN PALM,OPEN PALM,76.0
OPEN PALM,OPEN PALM,78.0
OPEN PALM,OPEN PALM,78.0
OPEN PALM,OPEN PALM,77.33333333333333
OPEN PALM,OPEN PALM,77.33333333333333
OPEN PALM,OPEN PALM,77.33333333333333
OPEN PALM,OPEN PALM,64.66666666666666
OPEN PALM,OPEN PALM,60.0
OPEN PALM,OPEN PALM,56.666666666666664
OPEN PALM,OPEN PALM,53.333333333333336
OPEN PALM,OPEN PALM,53.333333333333336
OPEN PALM,OPEN PALM,55.333333333333336
OPEN PALM,OPEN PALM,56.666666666666664
OPEN PALM,OPEN PALM,75.33333333333333
OPEN PALM,OPEN PALM,77.33333333333333
OPEN PALM,OPEN PALM,83.33333333333334
OPEN PALM,OPEN PALM,87.33333333333333
OPEN PALM,OPEN PALM,93.33333333333333
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,92.66666666666666
OPEN PALM,OPEN PALM,88.66666666666667
OPEN PALM,OPEN PALM,86.66666666666667
OPEN PALM,OPEN PALM,89.33333333333333
OPEN PALM,OPEN PALM,93.33333333333333
OPEN PALM,OPEN PALM,91.33333333333333
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,92.66666666666666
OPEN PALM,OPEN PALM,93.33333333333333
OPEN PALM,OPEN PALM,92.66666666666666
OPEN PALM,OPEN PALM,92.0
OPEN PALM,OPEN PALM,89.33333333333333
OPEN PALM,OPEN PALM,84.0
OPEN PALM,OPEN PALM,86.66666666666667
OPEN PALM,OPEN PALM,62.66666666666667
OPEN PALM,OPEN PALM,62.66666666666667
OPEN PALM,OPEN PALM,60.66666666666667
OPEN PALM,OPEN PALM,60.66666666666667
OPEN PALM,OPEN PALM,66.0
OPEN PALM,OPEN PALM,78.66666666666666
OPEN PALM,OPEN PALM,91.33333333333333
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,92.66666666666666
OPEN PALM,OPEN PALM,88.0
OPEN PALM,OPEN PALM,81.33333333333333
OPEN PALM,OPEN PALM,62.66666666666667
OPEN PALM,OPEN PALM,58.666666666666664
OPEN PALM,OPEN PALM,65.33333333333333
OPEN PALM,OPEN PALM,62.0
OPEN PALM,OPEN PALM,55.333333333333336
OPEN PALM,OPEN PALM,55.333333333333336
OPEN PALM,OPEN PALM,56.666666666666664
OPEN PALM,OPEN PALM,56.666666666666664
OPEN PALM,OPEN PALM,54.0
OPEN PALM,OPEN PALM,60.66666666666667
OPEN PALM,OPEN PALM,68.66666666666667
OPEN PALM,OPEN PALM,74.0
OPEN PALM,OPEN PALM,83.33333333333334
OPEN PALM,OPEN PALM,94.0
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,98.66666666666667
OPEN PALM,OPEN PALM,78.0
